"","askingprice","originalprice","age_05_or_less","age_06_10","age_11_15","age_16_20","age_21_25","age_26_30","age_31_35","age_36_40","age_41_50","age_51_60","age_61_70","age_71_80","age_81","age_new_under_construction","age_unknown","appearance_excellent","appearance_fair","appearance_good","appearance_needsrepair","appearance_verygood","beds","fb","hb","sqft_1000","sqft_1001_1200","sqft_1201_1400","sqft_1401_1600","sqft_1601_1800","sqft_1801_2000","sqft_2001_2200","sqft_2201_2500","sqft_2501_2750","sqft_2751_3000","sqft_3001_3300","sqft_3301_3750","sqft_3751_4250","sqft_4251_5000","sqft_5001_5500","sqft_5501_6000","sqft_6000","sqft_midpoint","sqft_category","lotsize_use","soldprice","year_sold","month_sold","offenders_near_house","tract","daysonmarket","tract_212270101","tract_212270102","tract_212270103","tract_212270104","tract_212270105","tract_212270106","tract_212270107","tract_212270108","tract_212270109","tract_212270110","tract_212270111","tract_212270112","tract_212270113","tract_212270114","tract_212270115","tract_212270116","tract_212270117","tract_212270118","tract_212270119"
"251",549900,549900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3525,"3001-3750",1.04,549900,2021,5,0,"212270115","81",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"252",299000,299000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2875,"2501-3000",0.47,280000,2020,2,1,"212270108","59",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"253",209900,224900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,"1401-1800",0.15,205000,2020,9,1,"212270111","190",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"254",234000,235000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1900,"1801-2500",0.23,230000,2018,6,0,"212270108","120",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"255",199900,199900,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,"1401-1800",5.2,199900,2019,11,0,"212270111","70",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"256",245000,245000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,"1401-1800",0.31,250000,2021,6,2,"212270111","74",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"257",194900,194900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,"1001-1400",0.12,198800,2021,6,0,"212270113","103",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"258",339900,349999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2359,"1801-2500",0.35,324250,2019,8,0,"212270115","319",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"259",169900,166900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,"1001-1400",0,169900,2020,8,2,"212270117","161",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"260",143500,143500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,"1001-1400",0.2,139500,2018,7,1,"212270113","43",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"261",209900,214900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1900,"1801-2500",1.07,2e+05,2019,8,0,"212270108","98",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"262",129900,129900,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,"1001-1400",0.29,126500,2018,10,6,"212270113","69",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"263",209900,219900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1700,"1401-1800",0.45,213250,2020,9,0,"212270111","134",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"264",139900,139900,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,"1001-1400",0.19,139900,2020,11,4,"212270106","67",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
