"","house","offender","lat","Photo.Date","off_market_date"
"36487",14564,83,0.455033976411399,2019-07-29,2018-03-16
"36488",14564,89,0.827886796820227,2022-08-05,2018-03-16
"36489",14564,90,0.549165425485069,2022-03-09,2018-03-16
"36490",14565,15,0.634574791664064,2022-07-13,2018-06-07
"36491",14565,33,0.568429746162691,2022-07-21,2018-06-07
"36492",14565,35,0.865456339984807,2022-07-21,2018-06-07
"36493",14565,83,0.826257815417185,2019-07-29,2018-06-07
"36494",14565,90,0.813453844529566,2022-03-09,2018-06-07
"36495",14566,21,0.600742004382703,2021-11-02,2015-05-15
"36496",14568,3,0.920448372086855,2020-07-28,2014-11-19
"36497",14568,77,0.733808593598604,2022-07-13,2014-11-19
"36498",14568,85,0.403874065875055,2021-09-03,2014-11-19
"36499",14569,2,0.933967189138658,2021-04-21,2019-06-07
"36500",14569,5,0.196975482866114,2022-07-20,2019-06-07
"36501",14569,13,0.986916362009512,2022-07-18,2019-06-07
"36502",14569,16,0.136508636678301,2022-07-13,2019-06-07
"36503",14569,60,0.806596094906576,2022-08-17,2019-06-07
"36504",14569,65,0.734148744366289,2018-01-27,2019-06-07
"36505",14569,69,0.986916362009512,2022-07-21,2019-06-07
"36506",14570,93,0.346664596113563,2022-10-03,2020-11-03
"36507",14571,11,0.627569367412314,2019-03-25,2017-06-13
"36508",14572,15,0.972919175763494,2022-07-13,2012-09-12
"36509",14572,33,0.911152632359082,2022-07-21,2012-09-12
"36510",14572,35,0.398058318856929,2022-07-21,2012-09-12
"36511",14572,83,0.41496202588739,2019-07-29,2012-09-12
"36512",14572,89,0.124407152750175,2022-08-05,2012-09-12
"36513",14572,90,0.849756682230418,2022-03-09,2012-09-12
"36514",14572,91,0.461855444542868,2021-03-18,2012-09-12
"36515",14573,15,0.477970196967619,2022-07-13,2018-06-15
"36516",14573,33,0.382769965612135,2022-07-21,2018-06-15
"36517",14573,35,0.496617552053578,2022-07-21,2018-06-15
"36518",14573,83,0.455033976411399,2019-07-29,2018-06-15
"36519",14573,89,0.827886796820227,2022-08-05,2018-06-15
"36520",14573,90,0.549165425485069,2022-03-09,2018-06-15
"36521",14574,11,0.642687578121786,2019-03-25,2019-12-10
"36522",14575,93,0.551505251016736,2022-10-03,2017-10-02
"36523",14576,82,0.506030818456852,2017-10-26,2019-03-15
"36524",14576,85,0.845767640233599,2021-09-03,2019-03-15
"36525",14577,3,0.504766243898858,2020-07-28,2013-02-06
"36526",14577,79,0.95206509794293,2022-07-26,2013-02-06
"36527",14577,85,0.753528047139371,2021-09-03,2013-02-06
"36528",14578,7,0.807969563417849,2022-09-21,2019-07-26
"36529",14578,14,0.597974290775433,2022-09-02,2019-07-26
"36530",14578,52,0.640417155738809,2020-11-06,2019-07-26
"36531",14578,56,0.767768725980579,2017-10-25,2019-07-26
"36532",14578,77,0.254448377026638,2022-07-13,2019-07-26
"36533",14578,85,0.884970971196834,2021-09-03,2019-07-26
"36534",14579,35,0.479670522392801,2022-07-21,2018-05-11
"36535",14579,83,0.511170897372556,2019-07-29,2018-05-11
"36536",14579,89,0.0915825204493278,2022-08-05,2018-05-11
"36537",14579,91,0.26472188365215,2021-03-18,2018-05-11
"36538",14580,14,0.694474888599247,2022-09-02,2017-01-19
"36539",14580,52,0.595425806795015,2020-11-06,2017-01-19
"36540",14580,77,0.32085855835479,2022-07-13,2017-01-19
"36541",14581,41,0.125299376022753,2022-07-20,2018-02-28
"36542",14582,1,0.318912934994246,2022-09-19,2019-06-24
"36543",14582,25,0.208691120304818,2022-07-18,2019-06-24
"36544",14582,27,0.461254300555977,2014-06-28,2019-06-24
"36545",14582,67,0.995275074504366,2022-08-19,2019-06-24
"36546",14583,53,0.923325083554271,2022-08-12,2020-03-10
"36547",14584,100,0.664596691280997,2022-08-09,2019-12-02
"36548",14587,93,0.822093591647289,2022-10-03,2021-04-26
"36549",14588,93,0.463624514638049,2022-10-03,2020-11-13
"36550",14589,38,0.905862965553519,2022-08-02,2019-12-02
"36551",14589,64,0.440419111927404,2022-06-01,2019-12-02
"36552",14589,76,0.531343806555109,2021-07-07,2019-12-02
"36553",14589,80,0.471203024498512,2012-04-20,2019-12-02
"36554",14589,81,0.531343806555109,2019-03-22,2019-12-02
"36555",14589,94,0.607370682381251,2022-07-26,2019-12-02
"36556",14589,95,0.919872827741863,2022-07-26,2019-12-02
